,Model,Injury.Severity,Number.of.Engines
9120,B-35,Non-Fatal,1.0
9126,310I,Non-Fatal,2.0
9128,PA 36-375,Fatal(1),1.0
9129,415-CD,Non-Fatal,1.0
9132,DC-8-51,Non-Fatal,4.0
9134,MAC ULTRALIGHT,Fatal(1),1.0
9135,AA-5,Fatal(4),1.0
9147,727-2M7,Incident,3.0
9157,BEAVER DHC-2,Fatal(2),1.0
9160,SANDPIPER 83B,Non-Fatal,1.0
9164,SONERIA II,Non-Fatal,1.0
9167,PA-23-160,Fatal(1),2.0
9169,S35,Fatal(1),1.0
9170,CALLAIR A-7,Fatal(1),1.0
9175,Q2,Fatal(1),1.0
9183,PA-11,Fatal(2),1.0
9186,FISHER FP-202,Fatal(1),1.0
9192,BT-13B,Non-Fatal,1.0
9197,G-44A,Non-Fatal,2.0
9200,FH-1100,Fatal(3),1.0
9201,DHC-7-100,Incident,4.0
9205,J58,Non-Fatal,1.0
9207,PA32R300,Non-Fatal,1.0
9209,RAND KR2,Non-Fatal,1.0
9217,47G2,Fatal(1),1.0
9224,PA-25-150,Non-Fatal,1.0
9225,421C,Fatal(3),2.0
9227,7CCM,Fatal(2),1.0
9235,335,Non-Fatal,2.0
9240,BE-55,Non-Fatal,2.0
9243,690B,Non-Fatal,2.0
9245,BEDE 4,Non-Fatal,1.0
9246,182-C,Non-Fatal,1.0
9249,BN-2A ISLANDER,Fatal(9),2.0
9251,PA-28-180F,Fatal(2),1.0
9253,TSC 1A,Non-Fatal,1.0
9261,690,Non-Fatal,2.0
9262,177A,Fatal(2),1.0
9263,C305A,Non-Fatal,1.0
9264,QUICKIE-2,Non-Fatal,1.0
9268,PA-28-160,Fatal(1),1.0
9272,UH-12ET,Non-Fatal,1.0
9274,BD4,Non-Fatal,1.0
9290,65-LA,Non-Fatal,1.0
9295,R172E,Fatal(2),1.0
9306,M20F,Incident,1.0
9314,L-21-A,Fatal(2),1.0
9315,421C,Fatal(4),2.0
9317,SNS-7,Non-Fatal,1.0
9318,H 301 B LIBELLE,Non-Fatal,0.0
9319,LIGHTHIZER SPECIAL,Non-Fatal,1.0
9324,D-55,Non-Fatal,2.0
9335,L-19E,Fatal(2),1.0
9342,S-76A,Fatal(1),2.0
9343,MONNETT MONI,Non-Fatal,1.0
9344,THRUSH S2R-T15,Non-Fatal,1.0
9346,PA28-140E,Fatal(1),1.0
9347,DC3C-S1C3G,Fatal(3),2.0
9352,152 II,Non-Fatal,1.0
9355,PA-22-160,Fatal(1),1.0
9359,CASSUTT III M,Non-Fatal,1.0
9369,300/269C,Non-Fatal,1.0
9374,PA-46-310P,Fatal(1),1.0
9375,182RG,Fatal(1),1.0
9378,GYROPLANE 18A,Non-Fatal,1.0
9382,BENSON B8M,Non-Fatal,1.0
9386,310II,Incident,2.0
9391,THRUSH SR2,Non-Fatal,1.0
9394,HUMMINGBIRD,Non-Fatal,2.0
9395,520,Non-Fatal,2.0
9398,C-54,Non-Fatal,4.0
9399,172I,Fatal(2),1.0
9420,TRAVEL AIR B9-4000,Non-Fatal,1.0
9421,210N II,Non-Fatal,1.0
9435,MAC MU-200,Non-Fatal,1.0
9436,M6-235,Non-Fatal,1.0
9438,150H,Incident,1.0
9439,W - 8,Non-Fatal,1.0
9451,P-63C-5-BE,Non-Fatal,1.0
9452,MA-5 CHARGER,Fatal(2),1.0
9453,SGS 1-26E,Non-Fatal,0.0
9459,415-E,Non-Fatal,1.0
9465,PA-46-310P,Non-Fatal,1.0
9466,172,Incident,1.0
9473,P172D,Non-Fatal,1.0
9478,210J,Non-Fatal,1.0
9484,PITTS S1S,Non-Fatal,1.0
9486,T337G,Fatal(1),2.0
9495,AT301,Fatal(1),1.0
9500,150A,Fatal(3),1.0
9502,PA-36-400,Non-Fatal,1.0
9504,320C,Fatal(5),2.0
9516,112TC,Fatal(17),1.0
9517,C-99,Fatal(17),2.0
9529,150,Fatal(4),1.0
9530,152,Fatal(4),1.0
9532,690,Fatal(4),2.0
9536,THE BLUE MAX,Non-Fatal,1.0
9539,EAST RISER,Fatal(1),1.0
9545,B-24-R,Non-Fatal,1.0
9560,PA-28-140,Fatal(5),1.0
9565,A188B,Non-Fatal,2.0
9567,H-395A,Non-Fatal,1.0
9571,180,Fatal(2),1.0
9578,PA-32R-301T,Fatal(4),1.0
9582,PA-28RT-201,Fatal(3),1.0
9584,M-20G,Non-Fatal,1.0
9591,DHC-1B-2-S5,Non-Fatal,1.0
9598,STEARMAN E75,Fatal(1),1.0
9601,58,Incident,2.0
9603,402C,Fatal(2),2.0
9605,BE 58,Non-Fatal,2.0
9614,M-6,Non-Fatal,1.0
9615,M-4,Fatal(6),1.0
9616,PA-28-180,Fatal(6),1.0
9618,B8 MOD GYRO,Fatal(1),1.0
9619,GEM 260,Fatal(1),1.0
9620,AX7-77,Non-Fatal,0.0
9622,PA-24-260C,Non-Fatal,1.0
9629,AMERICAN AA1,Non-Fatal,1.0
9641,PIK-20,Non-Fatal,0.0
9647,210K,Fatal(4),1.0
9648,680V,Fatal(1),2.0
9649,PA-23-235,Fatal(2),2.0
9650,PA-18-150,Fatal(3),1.0
9651,MD-80,Incident,2.0
9652,727-22,Incident,3.0
9666,PA-28-161,Incident,1.0
9676,T210J,Fatal(2),1.0
9681,316B ALOUETTE III,Non-Fatal,1.0
9691,FLIGHTSTAR,Fatal(1),1.0
9692,FAN JET FALCON,Incident,2.0
9695,C-150M,Non-Fatal,1.0
9698,411,Non-Fatal,2.0
9701,206B,Fatal(4),1.0
9706,RALLEY 2B,Fatal(1),1.0
9708,108,Fatal(1),1.0
9712,164A,Non-Fatal,1.0
9718,182D,Fatal(2),1.0
9719,195A,Fatal(2),1.0
9720,R172K,Fatal(3),1.0
9726,C182,Non-Fatal,1.0
9734,A185F-II,Non-Fatal,1.0
9735,SHOESTRING,Fatal(1),1.0
9738,SONERA II,Non-Fatal,1.0
9739,LR-24D,Non-Fatal,2.0
9741,11AC,Fatal(2),1.0
9748,DER JAGER DIX,Non-Fatal,1.0
9750,M6,Non-Fatal,1.0
9752,A109,Non-Fatal,2.0
9754,M-62A (PT-19),Non-Fatal,1.0
9760,S2R-T15,Non-Fatal,1.0
9767,602P,Fatal(1),2.0
9768,44J STIEGLITZ,Non-Fatal,1.0
9772,T-207,Non-Fatal,1.0
9773,206B II,Non-Fatal,1.0
9780,T206,Non-Fatal,1.0
9791,PA-32R-300,Fatal(6),1.0
9794,620,Fatal(1),1.0
9796,FP-101,Non-Fatal,1.0
9817,SA315B LAMA,Non-Fatal,1.0
9819,KR 2,Non-Fatal,1.0
9820,QUICKIE II,Non-Fatal,1.0
9821,R-182,Non-Fatal,1.0
9822,S-T1,Non-Fatal,1.0
9823,SMITH MINIPLANE,Non-Fatal,1.0
9826,DC3,Non-Fatal,2.0
9833,A-24R,Non-Fatal,1.0
9848,V35,Fatal(3),1.0
9849,205,Fatal(3),1.0
9853,EAGEL AC7,Non-Fatal,1.0
9856,D 35,Non-Fatal,1.0
9862,SONERAI 2L,Fatal(1),1.0
9866,NAV-4-1908,Non-Fatal,1.0
9869,B33,Non-Fatal,1.0
9875,47G-3B1,Non-Fatal,1.0
9879,58F,Non-Fatal,2.0
9881,A36TC,Incident,1.0
9883,U206G,Fatal(1),1.0
9889,AA5-B,Non-Fatal,1.0
9890,PA-31T3,Non-Fatal,2.0
9893,UH12ET,Non-Fatal,1.0
9902,NONE,Non-Fatal,1.0
9907,172Q,Non-Fatal,1.0
9911,PITTS SPECIAL S1-SP,Non-Fatal,1.0
9916,AA1C,Fatal(1),1.0
9917,PA-31-310,Fatal(1),2.0
9921,747-200B,Incident,4.0
9933,PA-34-220T,Fatal(5),2.0
9935,310J,Incident,2.0
9936,VC-137B-BN,Incident,4.0
9940,T-33,Non-Fatal,1.0
9956,S2R-R3S,Non-Fatal,1.0
9960,CORSAIR,Non-Fatal,1.0
9964,195A,Fatal(3),1.0
9965,HANSA HFB-320,Fatal(3),2.0
9977,SE316B,Non-Fatal,1.0
9979,V35,Fatal(1),1.0
9982,S-1C,Fatal(1),1.0
9990,PITTS S-2B,Non-Fatal,1.0
9993,95-A55,Fatal(1),2.0
9996,310C,Fatal(1),2.0
9997,SKYBOLT,Fatal(2),1.0
10006,24B,Fatal(3),2.0
10008,CITATION 550,Incident,2.0
10009,AX6W,Non-Fatal,0.0
10013,EAA SPECIAL,Non-Fatal,1.0
10015,695A,Fatal(2),2.0
10028,COUGAR-1,Fatal(1),1.0
10034,PA-28-181,Fatal(3),1.0
10035,14-19-3A,Fatal(1),1.0
10042,415-C AIRCOUPE,Non-Fatal,1.0
10044,73CA,Fatal(1),1.0
10045,PBY-6A,Fatal(7),2.0
10054,R172,Non-Fatal,1.0
10058,182B,Fatal(4),1.0
10061,T210-H,Fatal(2),1.0
10067,C-207,Non-Fatal,1.0
10068,PA-23-170,Fatal(4),2.0
10074,GLASAIR - TD,Non-Fatal,1.0
10077,3NM,Non-Fatal,2.0
10078,727-227,Incident,3.0
10079,QU-22A 1074,Fatal(1),1.0
10083,421C,Fatal(1),2.0
10086,COURIER,Non-Fatal,1.0
10093,DC-8-71,Non-Fatal,4.0
10098,U-206C,Fatal(1),1.0
10101,414-8,Non-Fatal,2.0
10103,BC12-D,Fatal(2),1.0
10105,MK IV/AT-6,Non-Fatal,1.0
10111,17-31A,Incident,1.0
10113,99A,Incident,2.0
10117,BO-105,Incident,2.0
10118,PA38,Non-Fatal,1.0
10122,DHC-4,Fatal(1),2.0
10124,TR182RG,Fatal(1),1.0
10128,PA-32R-301,Fatal(4),1.0
10131,PA-22-20,Non-Fatal,1.0
10134,G-18S,Non-Fatal,2.0
10136,PA32RT-300T,Non-Fatal,1.0
10142,AVID FLYER 1,Non-Fatal,1.0
10146,DC3C,Non-Fatal,2.0
10152,BEDE 5B,Non-Fatal,1.0
10160,AMERICAN AEROLIGHT,Non-Fatal,1.0
10171,OTTER DHC-3,Non-Fatal,1.0
10172,PA-60,Incident,2.0
10173,340,Fatal(1),2.0
10174,DH 82 TIGER MOTH,Fatal(2),1.0
10176,SA-315-B,Non-Fatal,1.0
10183,500D/369D,Non-Fatal,1.0
10184,M20E,Fatal(3),1.0
10186,690C,Fatal(2),2.0
10189,AEROSTAR 600A,Non-Fatal,2.0
10192,747-131,Incident,4.0
10196,VOYAGER 150,Fatal(1),1.0
10204,T210L,Incident,1.0
10210,ACROSPORT II,Non-Fatal,1.0
10213,WG30,Incident,2.0
10214,AD-4NA,Fatal(2),1.0
10223,NA-265-25,Incident,2.0
10225,BE-55E,Non-Fatal,2.0
10233,PA18-150,Fatal(1),1.0
10237,T337B,Non-Fatal,2.0
10251,C337,Fatal(1),2.0
10258,441,Non-Fatal,2.0
10259,75,Non-Fatal,1.0
10261,24F,Fatal(2),2.0
10263,SNJ-5,Fatal(1),1.0
10264,SA-316 ALOUETTE,Incident,1.0
10265,SA315B (LAMA),Incident,1.0
10266,BANDIT 1,Non-Fatal,1.0
10269,DHC-1-22,Fatal(2),1.0
10271,D-45 (T-34),Non-Fatal,1.0
10281,PA-34-200,Incident,2.0
10285,SA-226AT,Incident,2.0
10286,231,Non-Fatal,1.0
10290,206B-11,Fatal(4),1.0
10301,747-122,Non-Fatal,4.0
10302,U206,Fatal(3),1.0
10309,17-31ATC,Fatal(1),1.0
10315,PA-32R-301T,Fatal(3),1.0
10320,PA-28RT-201,Fatal(1),1.0
10321,DC-8,Incident,1.0
10329,310N,Fatal(5),2.0
10335,EMB-110,Non-Fatal,2.0
10348,210,Fatal(4),1.0
10349,172G,Fatal(2),1.0
10353,E35,Non-Fatal,1.0
10359,CHEROKEE 140-C,Non-Fatal,1.0
10367,GC-1B SWIFT,Non-Fatal,1.0
10369,P2P,Non-Fatal,1.0
10372,PA-185-135,Non-Fatal,1.0
10373,47G-3B-2,Non-Fatal,1.0
10380,C24R,Incident,1.0
10384,S58J,Fatal(1),1.0
10387,SA 227,Incident,2.0
10402,MU-2B-35,Non-Fatal,2.0
10412,182B,Fatal(2),1.0
10417,727-251,Incident,3.0
10424,EMB-110P1,Fatal(13),2.0
10438,T-210G,Fatal(1),1.0
10457,UH34J,Non-Fatal,1.0
10462,C-152,Fatal(2),1.0
10463,SNS 8 HIPERLT,Fatal(1),1.0
10473,T-18 TIGER,Fatal(1),1.0
10476,AEROSTAR 601A,Fatal(1),2.0
10482,AEROCOMMANDER 695,Non-Fatal,2.0
10484,BN-2,Non-Fatal,2.0
10485,180K,Fatal(1),1.0
10487,PA-30-160,Fatal(3),2.0
10488,300,Non-Fatal,2.0
10497,PA-60-601P,Fatal(1),2.0
10499,M20J,Fatal(4),1.0
10502,PA-23-250,Fatal(4),2.0
10513,SA341G,Non-Fatal,1.0
10514,310L,Fatal(1),2.0
10519,402B TS,Non-Fatal,2.0
10520,DHC-3 TURBO,Non-Fatal,1.0
10521,B-18S,Non-Fatal,2.0
10522,690A,Fatal(1),2.0
10524,35,Fatal(1),2.0
10525,UNKNOWN,Incident,1.0
10526,747-200,Incident,4.0
10529,58P,Incident,2.0
10533,M-62A,Non-Fatal,1.0
10535,R-22-A,Fatal(2),1.0
10536,402B,Fatal(1),2.0
10538,SUPER NOVA II,Non-Fatal,1.0
10553,SST,Non-Fatal,1.0
10554,T1,Non-Fatal,1.0
10566,441,Fatal(1),2.0
10567,R-22 ALPHA,Fatal(2),1.0
10574,PA-32R-301,Fatal(6),1.0
10584,DC3A,Incident,2.0
10585,TAYLOR/COOT-A,Non-Fatal,1.0
10586,PA-32R-300,Fatal(2),1.0
10587,FH-1100,Fatal(1),1.0
10588,182Q,Fatal(4),1.0
10593,182P,Fatal(5),1.0
10595,47G3B,Fatal(1),1.0
10599,172L,Fatal(3),1.0
10612,206-L3,Non-Fatal,1.0
10614,310N,Fatal(2),2.0
10615,727-225,Fatal(29),3.0
10616,"LM-1 ""NIKKO""",Non-Fatal,1.0
10623,2 PLACE,Fatal(1),1.0
10625,2061-1,Non-Fatal,1.0
10626,500D,Fatal(1),1.0
10628,MU-2B-25,Fatal(1),2.0
10630,B36TC,Non-Fatal,1.0
10641,GREAT LAKES,Non-Fatal,1.0
10643,C90,Non-Fatal,2.0
10646,C-402,Incident,2.0
10647,B-35,Fatal(4),1.0
10650,C207,Non-Fatal,1.0
10651,SA-227-AC,Incident,2.0
10658,188A,Fatal(3),4.0
10662,SABRELINER/NA265-40,Non-Fatal,2.0
10666,206BIII,Fatal(1),1.0
10667,M-62C,Non-Fatal,1.0
10679,PA-28-140D,Fatal(1),1.0
10681,206BIII,Non-Fatal,1.0
10684,YKC,Non-Fatal,1.0
10687,337,Fatal(4),2.0
10689,H-18,Incident,2.0
10710,SA 360C,Non-Fatal,1.0
10712,205A-1,Fatal(1),1.0
10721,206 L-1,Fatal(3),1.0
10724,188C,Fatal(70),4.0
10728,369E,Non-Fatal,1.0
10729,UH12DJ3,Non-Fatal,1.0
10733,CASSUTT SPORT RACER,Non-Fatal,1.0
10739,PA-24-400,Non-Fatal,1.0
10742,212,Incident,2.0
10743,BE-35,Fatal(3),1.0
10749,175,Fatal(2),1.0
10752,727-51,Incident,3.0
10757,120,Fatal(2),1.0
10770,MA-1,Non-Fatal,1.0
10773,B-50,Fatal(3),2.0
10778,414,Fatal(4),2.0
10779,SA-227,Non-Fatal,2.0
10786,PA-31-350,Fatal(4),2.0
10787,A100,Fatal(2),2.0
10789,S-2R (THRUSH),Non-Fatal,1.0
10792,B-80,Non-Fatal,2.0
10794,337B,Incident,2.0
10801,C-35,Non-Fatal,1.0
10805,65-A80,Fatal(9),2.0
10806,AS 355F-1,Non-Fatal,2.0
10808,182-F,Fatal(4),1.0
10810,DC-9-15,Non-Fatal,2.0
10812,SAC-212-200,Incident,2.0
10814,QUICKIE 02,Non-Fatal,1.0
10815,402B,Fatal(2),2.0
10816,BE-23-24,Fatal(1),1.0
10818,207A,Fatal(1),1.0
10820,PA-28-200,Non-Fatal,1.0
10828,AC-680F,Fatal(4),2.0
10838,DC-9,Incident,2.0
10841,S-P,Non-Fatal,1.0
10846,421C,Fatal(6),2.0
10847,BAE 3101 JETSTREAM,Incident,2.0
10854,PA-32RT-300,Fatal(3),1.0
10855,H18,Fatal(1),2.0
10856,G90,Fatal(2),2.0
10857,SA-226-TC,Incident,2.0
10861,BE-18,Non-Fatal,2.0
10869,T-188C,Non-Fatal,1.0
10882,SGS-126E,Non-Fatal,0.0
10891,B 90,Non-Fatal,2.0
10892,310G,Non-Fatal,2.0
10902,214B1,Non-Fatal,1.0
10912,XTC,Non-Fatal,1.0
10913,747 SP-09,Non-Fatal,4.0
10923,N35,Non-Fatal,1.0
10925,ARESTIA GANADOR,Fatal(1),1.0
10927,BC-65,Fatal(2),1.0
10928,PA-31T,Fatal(2),2.0
10929,DRAGONFLY,Fatal(1),1.0
10932,M20D,Fatal(3),1.0
10935,POBER PIXIE,Non-Fatal,1.0
10938,SWIFT GC-1B,Fatal(2),1.0
10940,FF-8-24,Non-Fatal,0.0
10945,PITTS S1U,Non-Fatal,1.0
10947,PA-31P,Fatal(3),2.0
10950,PA-28-112,Non-Fatal,1.0
10956,152,Fatal(3),1.0
10965,EXEC,Non-Fatal,1.0
10966,76,Fatal(2),2.0
10967,M-20-E,Fatal(2),1.0
10970,PA-23-250,Non-Fatal,1.0
10975,175,Fatal(1),1.0
10976,680E,Fatal(2),2.0
10980,E33-C,Non-Fatal,1.0
10985,AG-CAT-G-114,Non-Fatal,1.0
10998,UH-1H,Non-Fatal,1.0
10999,104,Non-Fatal,1.0
11011,7-ECA CITABRIA,Non-Fatal,1.0
11022,B75-N1,Non-Fatal,1.0
11026,601,Fatal(1),2.0
11028,680V,Non-Fatal,2.0
11034,PA-140,Non-Fatal,1.0
11050,206L,Fatal(4),1.0
11052,24W-46,Non-Fatal,1.0
11063,7GC,Non-Fatal,2.0
11066,CONDOR III +2,Non-Fatal,1.0
11067,172-N-II,Non-Fatal,1.0
11077,T210R,Fatal(2),1.0
11078,PA-24,Fatal(1),1.0
11084,A36,Incident,1.0
11088,F-28L,Non-Fatal,1.0
11090,PA-28,Fatal(3),1.0
11099,C-46R,Non-Fatal,2.0
11101,DC-6B,Incident,4.0
11102,ENGEL AIR,Non-Fatal,1.0
11104,PA-44-180,Incident,2.0
11116,FALCO F8L,Fatal(2),1.0
11117,J3C-85,Fatal(1),1.0
11124,401A,Fatal(1),2.0
11127,A-26B,Non-Fatal,2.0
11128,G-164-A,Non-Fatal,1.0
11135,SX,Fatal(1),1.0
11139,B-8-M,Non-Fatal,1.0
11141,B-19,Fatal(1),1.0
11144,LONG EZE,Non-Fatal,1.0
11148,F-27,Incident,2.0
11151,B35D,Fatal(3),1.0
11153,182J,Fatal(2),1.0
11156,PA 18-150,Non-Fatal,1.0
11161,JB-75,Non-Fatal,1.0
11167,TAYLOR TITCH,Fatal(1),1.0
11168,415-D,Non-Fatal,1.0
11179,727-100,Incident,3.0
11181,L-19,Non-Fatal,1.0
11191,PA-20-125,Non-Fatal,1.0
11194,DC-9-14,Incident,2.0
11198,182A,Fatal(2),1.0
11203,681,Fatal(1),2.0
11207,727-200B,Incident,3.0
11220,DUNCAN/VARIEZE,Non-Fatal,1.0
11226,JODEL F-12,Non-Fatal,1.0
11228,PA28-236,Non-Fatal,1.0
11231,J-3C-65,Non-Fatal,1.0
11234,AG CAT G-164,Non-Fatal,1.0
11237,STARDUSTER ESA300,Non-Fatal,1.0
11239,172B,Fatal(3),1.0
11240,421B,Fatal(2),2.0
11247,414,Unavailable,2.0
11249,185F,Incident,1.0
11267,N35,Fatal(1),1.0
11283,MO-20J,Fatal(5),1.0
11288,CVJETKOVIC CA-65,Non-Fatal,1.0
11290,SA-227-AC,Non-Fatal,2.0
11310,HS-125,Incident,2.0
11311,UH12J3,Non-Fatal,1.0
11312,PA 22-150,Non-Fatal,1.0
11313,737-217,Incident,2.0
11322,320B,Fatal(4),2.0
11324,PHANTOM II,Fatal(2),1.0
11329,BENSEN B-8M,Non-Fatal,1.0
11337,MU2J,Non-Fatal,2.0
11343,DHC-7-103,Incident,4.0
11356,UH-12E,Incident,1.0
11357,DH-125,Incident,2.0
11359,D95A,Non-Fatal,2.0
11361,G103 TWIN ASTIR,Non-Fatal,0.0
11364,CONDOR III,Fatal(2),1.0
11365,172 P,Fatal(2),1.0
11373,B95,Fatal(2),2.0
11375,PA25-235,Fatal(1),1.0
11376,U206G,Fatal(6),1.0
11378,310R,Fatal(7),2.0
11383,T-210-NII,Non-Fatal,1.0
11385,M-5-180C,Non-Fatal,1.0
11392,BH-206-B,Non-Fatal,1.0
11397,206-L1,Non-Fatal,1.0
11399,7GCA,Fatal(2),1.0
11401,BUCCANEER,Non-Fatal,1.0
11402,ZIPPPY SPORT,Non-Fatal,1.0
11407,PITTS S-1-S,Non-Fatal,1.0
11408,TYPE 43 SERIES 3F,Non-Fatal,0.0
11411,S-58ET,Fatal(3),2.0
11412,36,Fatal(2),1.0
11414,PA-28-235,Fatal(5),1.0
11415,A45,Fatal(1),1.0
11417,BE36 TC,Non-Fatal,1.0
11419,J-2,Non-Fatal,1.0
11422,310G,Fatal(2),2.0
11431,A152AEROBAT,Non-Fatal,1.0
11432,PA32-301T,Non-Fatal,1.0
11433,727-223,Non-Fatal,3.0
11435,T56A VEGA,Non-Fatal,0.0
11437,AC-500,Incident,2.0
11442,G-73-T,Incident,2.0
11444,P68C,Non-Fatal,2.0
11451,AT301-A,Non-Fatal,1.0
11454,PA-17,Fatal(1),1.0
11461,M5-235C,Non-Fatal,1.0
11462,SA360C DAUPHIN,Fatal(1),1.0
11466,"SIDEWINDER ""S""",Fatal(2),1.0
11467,SNJ-6,Fatal(2),1.0
11473,BD-5A,Non-Fatal,1.0
11474,PT 17,Non-Fatal,1.0
11489,737-300,Non-Fatal,2.0
11491,PITTS S2B,Non-Fatal,1.0
11493,22/20,Non-Fatal,1.0
11502,CALLAIR A-9A,Non-Fatal,1.0
11503,MIDGET MUSTANG I,Fatal(1),1.0
11504,B 55,Fatal(2),2.0
11506,SGS1-36,Non-Fatal,0.0
11512,PV-2,Non-Fatal,2.0
11513,BN-2A-27,Incident,2.0
11521,PA-32RT-300T,Fatal(3),1.0
11522,SA226T,Non-Fatal,2.0
11523,180-L,Non-Fatal,1.0
11532,PA-601,Non-Fatal,2.0
11549,AT6A,Fatal(1),1.0
11550,A-2,Non-Fatal,1.0
11551,8E,Fatal(2),1.0
11552,R-22 HP,Fatal(2),1.0
11553,S77A,Non-Fatal,0.0
11560,SGS 2-32,Non-Fatal,0.0
11566,G-164A-450,Non-Fatal,1.0
11575,180H,Fatal(3),1.0
11582,PA-11-494,Non-Fatal,1.0
11589,FF-7,Non-Fatal,0.0
11598,C-206,Non-Fatal,1.0
11599,210K,Fatal(1),1.0
11600,47G,Fatal(2),1.0
11602,12-C,Non-Fatal,1.0
11603,PBY-5A,Fatal(1),2.0
11613,210M,Fatal(2),1.0
11614,B767-232,Incident,2.0
11621,M-23,Non-Fatal,1.0
11629,182RG,Fatal(2),1.0
11630,FALCON 50,Non-Fatal,3.0
11634,F-28F,Fatal(1),1.0
11642,H-35,Non-Fatal,1.0
11647,310F,Fatal(1),2.0
11650,PA-46,Non-Fatal,1.0
11652,402,Fatal(1),2.0
11653,LUSCOMBE 8A,Fatal(1),1.0
11660,47G-2,Fatal(1),1.0
11662,C-207A,Fatal(2),1.0
11668,SKYSHIP,Non-Fatal,2.0
11679,GLIDER TRYKE,Non-Fatal,1.0
11685,8-A,Non-Fatal,1.0
11689,E-90,Non-Fatal,2.0
11698,PA-32T-300,Non-Fatal,1.0
11703,EMB-110-P1,Non-Fatal,2.0
11707,206L,Fatal(2),1.0
11709,47-G5,Non-Fatal,1.0
11712,TR-182,Fatal(3),1.0
11713,501,Fatal(2),2.0
11729,BD-5,Fatal(1),1.0
11730,UH-1V,Fatal(1),1.0
11739,414,Fatal(1),2.0
11742,65-88,Non-Fatal,2.0
11747,B-8-M,Fatal(1),1.0
11760,300,Non-Fatal,1.0
11761,112B,Fatal(5),1.0
11767,727-023,Incident,3.0
11775,A-300B4-2C,Non-Fatal,2.0
11777,C172P,Fatal(4),1.0
11778,PA-34,Fatal(3),2.0
11779,TU-206E,Fatal(2),1.0
11789,TOMCAT MARK 5A/OH13H,Non-Fatal,1.0
11796,G-164A-600,Non-Fatal,1.0
11798,AZTEC PA-23-250,Incident,2.0
11799,G-159,Fatal(2),2.0
11800,DW1-0062,Non-Fatal,1.0
11811,PA-25-260-C,Non-Fatal,1.0
11824,PEGASE 101A,Non-Fatal,0.0
11829,E-75,Non-Fatal,1.0
11840,DH 82A TIGER MOTH,Non-Fatal,1.0
11843,175B,Non-Fatal,1.0
11844,PA-31-T,Non-Fatal,2.0
11845,E18S,Fatal(1),2.0
11851,STITTS SA-3A,Non-Fatal,1.0
11853,PA-28RT-201T,Fatal(2),1.0
11862,A-188-B,Non-Fatal,1.0
11870,PA-25-235-B,Non-Fatal,1.0
11873,HP-18,Non-Fatal,1.0
11878,BE-200,Fatal(2),2.0
11884,112B,Non-Fatal,1.0
11902,EVANS VP-1,Non-Fatal,1.0
11903,S76A,Fatal(1),2.0
11913,PA-28-180N,Non-Fatal,1.0
11916,T210J,Non-Fatal,1.0
11918,R-172-K,Non-Fatal,1.0
11934,31OQ,Non-Fatal,2.0
11938,POLLIWAGON,Non-Fatal,1.0
11944,SNJ-5,Fatal(2),1.0
11950,MARQUART CHARGER MA5,Non-Fatal,1.0
11958,SPEZIO SPORT DAL-1,Fatal(2),1.0
11959,B-737-201,Non-Fatal,2.0
11961,RC-3,Fatal(1),1.0
11962,172H,Fatal(2),1.0
11974,PUFFIN,Non-Fatal,1.0
11976,600S-20,Non-Fatal,1.0
11978,402B,Fatal(8),2.0
11985,M-6-235,Fatal(3),1.0
11990,NAVION A,Fatal(1),1.0
11992,214B-1,Fatal(2),1.0
11993,SA-26AT,Fatal(1),2.0
11994,240-27,Non-Fatal,2.0
12003,RF-4C,Fatal(1),2.0
12009,J5A,Fatal(1),1.0
12016,R-182RG,Non-Fatal,1.0
12022,C-177RG,Fatal(4),1.0
12024,AEROCOMMANDER 112,Non-Fatal,1.0
12025,BRIEGLEB BG-12B,Fatal(1),0.0
12038,PZL-104 WILGA 35A,Non-Fatal,1.0
12050,BE-19A,Non-Fatal,1.0
12057,B95A,Fatal(1),2.0
12060,N2,Fatal(1),1.0
12066,MU-2K,Incident,2.0
12068,VARI- EZE,Non-Fatal,1.0
12071,PA-25-235-C,Non-Fatal,1.0
12077,AS35OD,Fatal(1),1.0
12086,737-247,Incident,2.0
12094,J-3/100,Non-Fatal,1.0
12098,BC12-D1,Fatal(2),1.0
12099,PA-32RT-300T,Fatal(1),1.0
12100,PA-42,Fatal(2),2.0
12102,206B3,Non-Fatal,1.0
12107,S-76,Non-Fatal,2.0
12109,PA-12,Fatal(3),1.0
12112,SPECIAL GREAT LAKES,Non-Fatal,1.0
12116,SCORPION 133,Non-Fatal,1.0
12130,95-B55,Fatal(3),2.0
12131,95-B55,Incident,2.0
12137,M-6-180,Fatal(2),1.0
12162,EL TOMCAT MK-5A,Non-Fatal,1.0
12165,T8F,Non-Fatal,1.0
12170,LR-35A,Incident,2.0
12171,402,Incident,2.0
12180,TR2,Non-Fatal,1.0
12184,GMBO-105C,Non-Fatal,2.0
12185,182-R,Non-Fatal,1.0
12186,369HS,Fatal(4),1.0
12187,2000,Non-Fatal,1.0
12195,210MII,Non-Fatal,1.0
12197,D-11,Non-Fatal,1.0
12201,UNKNOWN,Fatal(2),1.0
12202,VIKING DRAGONFLY,Fatal(2),1.0
12210,PITTS S-1,Non-Fatal,1.0
12218,172-RG,Non-Fatal,1.0
12231,GLASAIR SH-2,Non-Fatal,1.0
12234,269A1A,Non-Fatal,1.0
